Order,Family,Genus,Species,phylo,Segmented.neutrophils,Database,count_type,Notes,
Carnivora,Otariidae,Otaria,byronia,Otaria_byronia,4.59,Basic_stats,automated,new,
Carnivora,Canidae,Otocyon,megalotis,Otocyon_megalotis,3.83,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Otocolobus,manul,Otocolobus_manul,5.99,Global_sp_RI,automated,new,
Primates,Galagidae,Otolemur,garnettii,Otolemur_garnettii,3.417,Global_sp_RI,calculated,replaced_Downs,
Primates,Galagidae,Otolemur,crassicaudatus,Otolemur_crassicaudatus,2.195,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Ovibos,moschatus,Ovibos_moschatus,3.245,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Ovis,aries,Ovis_aries,1.61,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Ovis,canadensis,Ovis_canadensis,4.32,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Ovis,dalli,Ovis_dalli,3.78,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Ovis,vignei,Ovis_vignei,2.362,Global_sp_RI,calculated,new,
Primates,Hominidae,Pan,paniscus,Pan_paniscus,2.73,Global_sp_RI,automated,replaced_Downs,
Primates,Hominidae,Pan,troglodytes,Pan_troglodytes,5.65,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Panthera,leo,Panthera_leo,8.54,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Panthera,onca,Panthera_onca,8.19,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Panthera,pardus,Panthera_pardus,8.62,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Panthera,tigris,Panthera_tigris,7.38,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Panthera,uncia,Panthera_uncia,7.98,Global_sp_RI,automated,replaced_Downs,
Primates,Cercopithecidae,Papio,anubis,Papio_anubis,3.861,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Papio,hamadryas,Papio_hamadryas,5.6,Global_sp_RI,automated,replaced_Downs,
Primates,Cercopithecidae,Papio,papio,Papio_papio,8.944,Global_sp_RI,calculated,new,
Cetartiodactyla,Tayassuidae,Pecari,tajacu,Pecari_tajacu,5.16,Global_sp_RI,automated,replaced_Downs,
Rodentia,Pedetidae,Pedetes,capensis,Pedetes_capensis,3.183,Global_sp_RI,calculated,replaced_Downs,
Peramelemorphia,Peramelidae,Perameles,gunnii,Perameles_gunnii,2.55,Global_sp_RI,automated,new,
Primates,Lorisidae,Perodicticus,potto,Perodicticus_potto,3.118,Global_sp_RI,calculated,replaced_Downs,
Diprotodontia,Petauridae,Petaurus,breviceps,Petaurus_breviceps,1.02,Global_sp_RI,calculated,retained,
Diprotodontia,Macropodidae,Petrogale,lateralis,Petrogale_lateralis,2.032,Global_sp_RI,calculated,new,
Diprotodontia,Macropodidae,Petrogale,penicillata,Petrogale_penicillata,2.435,Global_sp_RI,calculated,new,
Diprotodontia,Macropodidae,Petrogale,xanthopus,Petrogale_xanthopus,3.147,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Suidae,Phacochoerus,aethiopicus,Phacochoerus_aethiopicus,4.72,Global_sp_RI,calculated,new,
Cetartiodactyla,Suidae,Phacochoerus,africanus,Phacochoerus_africanus,4.2,Global_sp_RI,automated,replaced_Downs,
Diprotodontia,Phalangeridae,Phalanger,gymnotis,Phalanger_gymnotis,1.38,Basic_stats,calculated,new,
Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,Phascolarctos_cinereus,2.21,Global_sp_RI,automated,new,
Pholidota,Manidae,Phatanginus,tricuspis,Phatanginus_tricuspis,4.64,Global_sp_RI,automated,new,
Cetartiodactyla,Bovidae,Philantomba,maxwellii,Philantomba_maxwellii,1.257,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Philantomba,monticola,Philantomba_monticola,1.21,Global_sp_RI,automated,replaced_Downs,
Rodentia,Muridae,Phloeomys,pallidus,Phloeomys_pallidus,1.477,Basic_stats,calculated,new,
Carnivora,Phocidae,Phoca,vitulina,Phoca_vitulina,5.29,Global_sp_RI,automated,replaced_Downs,
Primates,Pitheciidae,Pithecia,pithecia,Pithecia_pithecia,3.91,Global_sp_RI,automated,replaced_Downs,
Primates,Pitheciidae,Plecturocebus,cupreus,Plecturocebus_cupreus,2.088,Basic_stats,calculated,new,
Primates,Pitheciidae,Plecturocebus,donacophilus,Plecturocebus_donacophilus,2.98,Global_sp_RI,automated,new,
Primates,Pitheciidae,Plecturocebus,moloch,Plecturocebus_moloch,3.864,Basic_stats,calculated,new,
Primates,Hominidae,Pongo,abelii,Pongo_abelii,4.21,Global_sp_RI,automated,new,
Primates,Hominidae,Pongo,pygmaeus,Pongo_pygmaeus,3,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Suidae,Potamochoerus,porcus,Potamochoerus_porcus,4.09,Global_sp_RI,automated,replaced_Downs,
Diprotodontia,Potoroidae,Potorous,tridactylus,Potorous_tridactylus,1.795,Basic_stats,calculated,new,
Carnivora,Procyonidae,Potos,flavus,Potos_flavus,3.68,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Prionailurus,bengalensis,Prionailurus_bengalensis,2.85,Global_sp_RI,calculated,new,
Carnivora,Felidae,Prionailurus,viverrinus,Prionailurus_viverrinus,4.925,Global_sp_RI,calculated,replaced_Downs,
Hyracoidea,Procaviidae,Procavia,capensis,Procavia_capensis,5.33,Global_sp_RI,automated,replaced_Downs,
Carnivora,Procyonidae,Procyon,lotor,Procyon_lotor,3.64,Global_sp_RI,automated,replaced_Downs,
Primates,Indriidae,Propithecus,coquereli,Propithecus_coquereli,3.53,Global_sp_RI,automated,new,
Primates,Indriidae,Propithecus,coronatus,Propithecus_coronatus,4.011,Basic_stats,calculated,new,
Carnivora,Hyaenidae,Proteles,cristatus,Proteles_cristatus,5.184,Global_sp_RI,calculated,replaced_Downs,
Diprotodontia,Pseudocheiridae,Pseudocheirus,peregrinus,Pseudocheirus_peregrinus,1.397,Basic_stats,calculated,new,
Cetartiodactyla,Bovidae,Pseudois,nayaur,Pseudois_nayaur,2.494,Basic_stats,calculated,new,
Carnivora,Mustelidae,Pteronura,brasiliensis,Pteronura_brasiliensis,5.786,Global_sp_RI,calculated,replaced_Downs,
Chiroptera,Pteropodidae,Pteropus,giganteus,Pteropus_giganteus,4.38,Global_sp_RI,calculated,retained,
Chiroptera,Pteropodidae,Pteropus,hypomelanus,Pteropus_hypomelanus,3.602,Global_sp_RI,calculated,new,
Chiroptera,Pteropodidae,Pteropus,livingstonii,Pteropus_livingstonii,3.696,Global_sp_RI,calculated,new,
Chiroptera,Pteropodidae,Pteropus,poliocephalus,Pteropus_poliocephalus,6,Basic_stats,calculated,new,
Chiroptera,Pteropodidae,Pteropus,pumilus,Pteropus_pumilus,5.035,Global_sp_RI,calculated,new,
Chiroptera,Pteropodidae,Pteropus,rodricensis,Pteropus_rodricensis,3.928,Global_sp_RI,calculated,replaced_Downs,
Chiroptera,Pteropodidae,Pteropus,scapulatus,Pteropus_scapulatus,4.025,Basic_stats,calculated,new,
Chiroptera,Pteropodidae,Pteropus,vampyrus,Pteropus_vampyrus,4.205,Global_sp_RI,calculated,new,
