species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriallity,foraging_environment,daily_activity,BMR,NOTES
Dicrostonyx_groenlandicus,Mammalia,Rodentia,3.3,66,nonvolant,semifossorial,terrestrial,cathemeral,0.009407883,
Didelphis_marsupialis,Mammalia,Didelphimorphia,4.2,1530,nonvolant,nonfossorial,semiarboreal,nocturnal,0.002566675,
Didelphis_virginiana,Mammalia,Didelphimorphia,6.6,3000,nonvolant,nonfossorial,semiarboreal,nocturnal,0.00184048,
Diphylla_ecaudata,Mammalia,Chiroptera,8,28,volant,nonfossorial,terrestrial,nocturnal,0.006794564,
Dipodomys_deserti,Mammalia,Rodentia,8.6,116,nonvolant,semifossorial,terrestrial,nocturnal,0.004848008,
Dipodomys_heermanni,Mammalia,Rodentia,8.3,65,nonvolant,semifossorial,terrestrial,nocturnal,0.006450764,
Dipodomys_merriami,Mammalia,Rodentia,9.7,42,nonvolant,semifossorial,terrestrial,nocturnal,0.006309835,
Dipodomys_ordii,Mammalia,Rodentia,9.9,57,nonvolant,semifossorial,terrestrial,nocturnal,0.007285975,
Dasyurus_viverrinus,Mammalia,Dasyuromorphia,6.8,1090,nonvolant,nonfossorial,terrestrial,nocturnal,0.002509158,
Dendrolagus_matschiei,Mammalia,Diprotodontia,26.9,7200,nonvolant,nonfossorial,semiarboreal,cathemeral,0.001171376,
Desmodillus_auricularis,Mammalia,Rodentia,6.1,54.5,nonvolant,semifossorial,terrestrial,nocturnal,0.006799567,
Desmodus_rotundus,Mammalia,Chiroptera,29.2,33.2,volant,nonfossorial,terrestrial,nocturnal,0.005102041,
Dobsonia_moluccensis,Mammalia,Chiroptera,12.3,430,volant,nonfossorial,volant,nocturnal,0.005077363,
Echinops_telfairi,Mammalia,Afrosoricida,19,180,nonvolant,nonfossorial,semiarboreal,nocturnal,0.006443299,
Echymipera_rufescens,Mammalia,Peramelemorphia,3.1,1250,nonvolant,nonfossorial,terrestrial,nocturnal,0.002364159,
Elephantulus_intufi,Mammalia,Macroscelidea,9.3,52,nonvolant,semifossorial,terrestrial,diurnal,0.006212664,
Elephantulus_rozeti,Mammalia,Macroscelidea,7.2,48,nonvolant,semifossorial,terrestrial,diurnal,0.005886681,
Elephantulus_rufescens,Mammalia,Macroscelidea,7.9,58,nonvolant,semifossorial,terrestrial,diurnal,0.005974843,
Elephas_maximus,Mammalia,Proboscidea,65.5,3180000,nonvolant,nonfossorial,terrestrial,cathemeral,0.000636302,
Enhydra_lutris,Mammalia,Carnivora,27,25850,nonvolant,nonfossorial,aquatic,diurnal,0.004016049,
Eptesicus_fuscus,Mammalia,Chiroptera,19,23,volant,nonfossorial,volant,nocturnal,0.010865385,
Equus_asinus,Mammalia,Perissodactyla,47,164998,nonvolant,nonfossorial,terrestrial,diurnal,0.000929127,
Erethizon_dorsatum,Mammalia,Rodentia,23.4,8600,nonvolant,nonfossorial,semiarboreal,nocturnal,0.001394377,
Erinaceus_europaeus,Mammalia,Eulipotyphla,11.7,750,nonvolant,semifossorial,terrestrial,nocturnal,0.002511111,
Erythrocebus_patas,Mammalia,Primates,28.3,7750,nonvolant,nonfossorial,terrestrial,diurnal,0.001986,
Eulemur_fulvus,Mammalia,Primates,35.5,3150,nonvolant,nonfossorial,semiarboreal,diurnal,0.000774917,
Euphractus_sexcinctus,Mammalia,Cingulata,22.1,4850,nonvolant,semifossorial,terrestrial,cathemeral,0.000842152,
Fossa_fossana,Mammalia,Carnivora,21.4,1540,nonvolant,nonfossorial,semiarboreal,nocturnal,0.002236971,
Funisciurus_anerythrus,Mammalia,Rodentia,10,218,nonvolant,nonfossorial,semiarboreal,diurnal,0.009206349,
Galago_demidoff,Mammalia,Primates,13.4,60,nonvolant,nonfossorial,arboreal,nocturnal,0.005961538,
Galago_moholi,Mammalia,Primates,16.6,175,nonvolant,nonfossorial,arboreal,nocturnal,0.004291311,
Galea_musteloides,Mammalia,Rodentia,3.5,337.9,nonvolant,semifossorial,terrestrial,diurnal,0.004572119,
