Antilocapra americana
Ailurus fulgens
Acerodon celebensis
Phascolarctos cinereus
Equus asinus
Homo sapiens
Rattus rattus
Suncus murinus
Didelphis virginiana
Procavia capensis
Tachyglossus aculeatus
Choloepus didactylus
Loxodonta africana
Orycteropus afer
Tenrec ecaudatus
Dasypus novemcinctus
Sarcophilus harrisii
Cynocephalus volans
Oryctolagus cuniculus
Elephantulus myurus
Dromiciops gliroides
Notoryctes typhlops
Caenolestes sangay
Perameles nasuta
Manis javanica
Tupaia glis
Dugong dugon
